Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,094029,1898,07,70.7,Y
IDCJAC0001,094029,1898,08,28.6,Y
IDCJAC0001,094029,1898,09,49.4,Y
IDCJAC0001,094029,1898,10,84.8,Y
IDCJAC0001,094029,1898,11,69.6,Y
IDCJAC0001,094029,1898,12,18.9,Y
IDCJAC0001,094029,1899,01,72.0,Y
IDCJAC0001,094029,1899,02,8.5,Y
IDCJAC0001,094029,1899,03,54.4,Y
IDCJAC0001,094029,1899,04,49.9,Y
IDCJAC0001,094029,1899,05,35.5,Y
IDCJAC0001,094029,1899,06,83.3,Y
IDCJAC0001,094029,1899,07,29.3,Y
IDCJAC0001,094029,1899,08,22.9,Y
IDCJAC0001,094029,1899,09,47.1,Y
IDCJAC0001,094029,1899,10,32.7,Y
IDCJAC0001,094029,1899,11,67.2,Y
IDCJAC0001,094029,1899,12,24.1,Y
IDCJAC0001,094029,1900,01,40.3,Y
IDCJAC0001,094029,1900,02,12.8,Y
IDCJAC0001,094029,1900,03,12.9,Y
IDCJAC0001,094029,1900,04,76.9,Y
IDCJAC0001,094029,1900,05,25.3,Y
IDCJAC0001,094029,1900,06,30.9,Y
IDCJAC0001,094029,1900,07,71.8,Y
IDCJAC0001,094029,1900,08,44.5,Y
IDCJAC0001,094029,1900,09,18.8,Y
IDCJAC0001,094029,1900,10,68.5,Y
IDCJAC0001,094029,1900,11,12.4,Y
IDCJAC0001,094029,1900,12,71.9,Y
IDCJAC0001,094029,1901,01,111.0,Y
IDCJAC0001,094029,1901,02,19.4,Y
IDCJAC0001,094029,1901,03,79.5,Y
IDCJAC0001,094029,1901,04,110.2,Y
IDCJAC0001,094029,1901,05,25.0,Y
IDCJAC0001,094029,1901,06,50.6,Y
IDCJAC0001,094029,1901,07,16.2,Y
IDCJAC0001,094029,1901,08,36.3,Y
IDCJAC0001,094029,1901,09,74.8,Y
IDCJAC0001,094029,1901,10,53.9,Y
IDCJAC0001,094029,1901,11,12.6,Y
IDCJAC0001,094029,1901,12,13.3,Y
